Increases damage dealt by Fist abilities by 10%.,"Instant Instant
Consumes all Fist Resources.
A single target attack that deals 90 physical damage. Gives you the Feral Regrowth effect, causing your next Fist resource consumer to heal you for 6.","If at least 2 hits of a Burst ability do not glance, you gain one stack of a beneficial effect, which increases damage by 3% per stack for 5 seconds. This effect can stack up to 3 times.","Instant 45sec
Charge: 15 metre charge to the target. The target must be at least 3 metres away.
You charge your target dealing 91 physical damage. The target also becomes Impaired and unable to activate abilities for 5 seconds.",Whenever you apply Impaired you deal an additional hit for 41 physical damage.,Your heal over time effects have a 15% chance to heal you for 20 when they apply their effect.,"Instant 45sec
A single target attack that deals 91 physical damage. The target also becomes Impaired and unable to activate abilites for 5 seconds. This ability has a 15 metre range.","""Inner Spark"" instead heals for 7 whenever your defensive target is attacked."
Go for the Throat,Out of the Woods,See Red,Adrenalise,Gore,Radiance,Empowerment,Fired Up
Active Melee Ability (Elite),Passive Ability (Elite),Active Melee Ability (Elite),Passive Ability (Elite),Active Melee Ability (Elite),Active Melee Ability (Elite),Passive Ability (Elite),Active Melee Ability (Elite)
7 ap,7 ap,50 ap,50 ap,50 ap,50 ap,50 ap,50 ap
"Instant 30sec
A single target attack that deals 124 physical damage. The target also becomes Impaired and unable to activate abilites for 5 seconds.","Whenever you heal a target above 80% of their maximum health, you gain a beneficial effect that increases all direct healing done by 27.5% for 8 seconds.","4sec 35sec
Channeled: Every 0.4 seconds for 4 seconds.
A channelled attack that deals 33 physical damage. While channeling, you and your target are rooted in place, this effect can not be broken out of.","Whenever you activate a Fist builder, you gain a beneficial effect that causes the next Fist builder to build an additional Fist resource. This effect is removed when you use a Fist consumer or glance.","Instant 25sec
Charge: 15 metre charge to your target.
You charge to your target dealing 69 physical damage to up to 5 enemies in a 5 metre radius. Affected targets also become Afflicted with a damage over time effect that deals 13 physical damage every second for 5 seconds. This effect will be refreshed by hits from anyone, while glancing hits will remove it.","Instant 40sec
For the next 6 seconds, all your heal over time effects are guaranteed to critically heal and heal for 50% more..","Whenever a heal over time effect critically hits, the target is healed for 40.","Instant 25sec
Heals all group members for 103. Also applies a heal over time effect that heals for 15 every second for 4 seconds."
,,,,,,,
Subversion,,,,,,,
Confuse,,,,,,,
Active Ability,,,,,,,
9 ap ,,,,,,,
"Instant 30sec
Reduces the amount of hate the target has towards you, making it more likely to attack others instead of you. The target's hate towards you is reduced by 50%.",,,,,,,
Subtlety,,,,,,,
Passive Ability,,,,,,,
12 ap,,,,,,,
"Reduces the amount of hate enemies will gain towards you, making them more likely to attack others insteead of you. Enemies will gain hate towards you at a 75% rate.",,,,,,,
Mass Confusion,,,,,,,
Active Ability,,,,,,,
16 ap,,,,,,,
"Instant 30sec
TAoE: Affects up to 3 enemies in a 5 metre radius around the target.
A TAoE detaunt that reduces the amount of hate affected targets have towards you, making them more likely to attack others instead of you. The targets' hate towards you is reduces by 33%.",,,,,,,
Under the Radar,,,,,,,
Passive Ability,,,,,,,
21 ap,,,,,,,
"Whenever you critically hit or penetrate, you also make the target more likely to attack others instead of you by reducing its hate towards you by 250.",,,,,,,
Misdirection,,,,,,,
Active Ability,,,,,,,
27 ap,,,,,,,
"Instant 60sec
For the next 8 seconds, 50% of the hate enemies gain towards you is instead transferred as hote towards your defensive target.",,,,,,,
Kill Streak,,,,,,,
Passive Ability,,,,,,,
34 ap,,,,,,,
"Whenever you kill an enemy, you gain 1 stack of a beneficial effect that increases the damage you deal by 3% per stack for 10 seconds. This effect can stack up to 5 times.",,,,,,,
Do or Die,,,,,,,
Active Ability (Elite),,,,,,,
50 ap,,,,,,,
"Instant 40sec
Increases the damage you deal by 25% for 10 seconds.",,,,,,,
,,,,,,,
Blood Magic,,,,,,,
Profane,Sacred,Malediction,Transmission,Possession,Wetwork,Chirurgia,Venamancy
Boiling Blood,Unholy Knowledge,Bloodline,Vital Fluids,Open Vein,Ruby Curtain,Omen,Hematic Rites
Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Active Magic Ability,Passive Ability,Active Magic Ability
1 ap,1 ap,9 ap,9 ap,9 ap,9 ap,9 ap,9 ap
"1sec Instant
Builds 1 resource for each equipped weapon. 
A single target attack that deals 48 magical damage.",Increase damage dealt by damage over time effects by 10%.,"1sec Instant
Channelled: Every 0.25 seconds for 1 second.
Builds 1 resource for each equipped weapon.
A channelled Focus attack that deals 12 magical damage per hit.","Whenever you apply Afflicted, you have a 10% cahnce of building 1 resource for your primary weapon.","0.5sec Instant
Chain: Jumps up to 5 metres 4 times, hitting up to 5 enemies.
Builds 1 resource for each equipped weapon.
A Chain attack that deals 32 magical damage.","Instant Instant
Builds 1 Blood Resource.
A single target heal that heals for 11 and places an absorb barrier on your defensive target. This barrier absorbs 100% of incoming damage and dissipates after absorbing 42 damage.","Whenever you apply Impaired, you gain a beneficial effect that increase that amount of damage you next barrier can absorb by 100.","Instant Instant
TAoE: Affects up to 5 friends within a 5 metre radius around the defensive target.
Consumes 2 Blood resources. Can be powered by your own health.
Places an absorb barrier on all affected targets, which absorbs 100% of incoming damage and dissipates after absorbing 82 damage."
Corrupted Blood,Blood Shield,Iron Maiden,Anaesthesia,Doom,Donor,Transfuse and Abuse,Arterial Pulse
Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Passive Ability,Active Magic Ability,Passive Ability
1 ap,1 ap,12 ap,12 ap,12 ap,12 ap,12 ap,12 ap
"Whenever you hit with ""Boiling Blood"", the target also becomes Afflicted with a damage over time effect that deals 2 magical damage every second for 8 seconds. This effect can stack up to 5 times.","Instant Instant
Builds 1 Blood Resource.
Heals 27 and places an absorb barrier on your defensive target. This barrier absorbs 100% of incoming damage and dissipates after absorbing 26 damage.","Whenever you penetrate a target that is Afflicted, you gain a Minor Penetration Chance effect, which increases Penetration Chance by 10% for 8 seconds.","Instant 60sec
A single target attack that deals 91 magical damage and causes the target to become Impaired and unable to act for 5 seconds. This ability has a 3 metre range.","Whenever you penetrate, you gain a Doom counter. When this counter reaches 4, your next hit will penetrate.","Whenever you penetrate, you place a barrier on your defensive target. This barrier absorbs 100% of incoming damage and dissipates after absorbing 15 damage.","Instant 60sec
Cleanses up to 3 damage over time effects active on you, and causes the target to become Afflicted with a damage over time effect that deals 8 magical damage every second per effect you cleansed for 7 seconds. This ability can only be activated when you are Afflicted.","Whenever you penetrate, you perform an additional hit on the target and enemies around it that deal 9 magical damage."
Blood Spike,Rapid Shields,Left Hand of Darkness,Third Degree,There Will Be Blood,The Scarlet Arts,Five Times a Charm,Linked Veins
Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Active Magic Ability,Passive Ability,Active Magic Ability
1 ap,1 ap,16 ap,16 ap,16 ap,17 ap,16 ap,16 ap
"1.5sec Instant
Consumes 2 Blood Resources. Can be powered by your own health.
A single target attack that deals 73 magical damage and also causes the target to become Afflicted with a damage over time effect that deals 7 magical damage every 0.5 seconds for 8 seconds.
If your target has the ""Blood Spike"" damage over time effect already, this ability instead deals 160 magical damage.","Increases the heal and barrier of ""Blood Shield"" by 7.5%.","Instant 30sec
Consumes 3 Blood Resources.
Causes the target to become Afflicted with a damage over time effect that deals 44 magical damage every second for 3 seconds. If you hit the target with this ability again while the effect is active, the target becomes Impaired and unable to act for 1 second.","Whenever you penetrate, you build a Third Degree counter. When this counter reaches 3, you also cause the target to become Afflicted with a damage over time effect that deals 16 magical damage every second for 4 seconds.","Instant 10sec
GTAoE: Affects 3 enemies in a 5 metre radius around the targeted point.
Consumes 5 Blood Resources. Can be powered by your own health.
A GTAoE attack that deals 71 magical damage. Also places an area on the ground lasting 6 seconds. This area deals 7 magical damage every second to enemies inside it, scaling with the number of targets originally hit.","2sec
Channelling: Every 0.4 seconds for 2 seconds.
Consumes 5 Blood Resources. Can be powered by your own health.
The first channelling places an absorb barrier on you defensive target, which absorbs 100% of incoming damage and disipates after absorbing 54. the next 3 channelling hits heal the defensive target for 54. the last channelling hit places the same barrier as the first hit.","Whenever you penetrate, you build a Five Times a Charm counter. When this counter reaches 5, it will cause the target to become Impaired and unable to act for 3 seconds. This effect has a recharge time of 45 seconds.","Instant Instsnt
Chain: Jumps up to 5 metres 2 times, hitting up to 3 friends.
Builds 1 Blood resource.
A Chain that heals for 18 and places a barrier that absorbs 100% of incoming damage and dissipates after absorbing 17 damage. This effect does not apply to self."
Dark Potency,Angelic Aegis,Prolonged Darkness,Contaminate,Splatter,Culmination,Liquidation,Last Rites
Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Passive Ability,Active Magic Ability,Passive Ability
2 ap,2 ap,21 ap,21 ap,21 ap,21 ap,21 ap,21 ap
"Whenever you apply Afflicted, you gain a single stack of the Penetration Rating effect, which increases Penetration Rating by 30 for for 8 seconds. This effect can stack up to 5 times.","1.5sec Instant
Consumes 3 Blood resources. Can be powered by your own health.
Heals 92 and places an absorb barrier on your defensive target. This barrier absorbs 100% of incoming damage and dissipates after absorbing 92 damage.","The ""Left Hand of Darkness"" damage over time effect lasts 2 seconds longer.","2sec 60sec
A single target attack that causes the target to become Afflicted by a damage over time effect that deals 20 magical damage every second for 6 seconds. If the target is healed while this damage over time effect is active, it will performa hit on the healer that deals 60 magical damage.",All your Chain attacks can jump to 2 additional targets.,"Whenever you finish channelling a Focus ability, you heal your defensive target for 9.","Instant 30sec
Places an area around the targeted point that will last 10 seconds. Enemies inside the area become Afflicted with a damage over time effect that deals 12 magical damage and heals you for 6 every second for 4 seconds.","Improves ""Hematic Rites"" to deal 14 magical damage to nearby enemies if the barrier expires. This does not occur if the barrier is depleted."
Infection,Angels Touch,Bloodshot,Blood Bank,Guts and Gory,Exquisite Corpse,Ebb and Flow,Blood Pact
Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Active Magic Ability,Passive Ability,Active Magic Ability
3 ap,3 ap,27 ap,27 ap,27 ap,27 ap,27 ap,27 ap
"1.5sec Instant
Chain: Jumps up to 3 metres 4 times, hitting up to 5 enemies.
Consumes 3 Blood Resources. Can be powered by your own health. 
A Chain attack that deals 62 magical damage. Affected targets also become Afflicted with a damage over time effect dealing 7 magical damage every 2 seconds for 12 seconds. If an enemy dies while affected by this effect, it explodes, dealing 44 magical damage to nearby targets.","""Angelic Aegis"" heals for an additional 46 to friends below 50% health.","Instant Instant
Consumes 2 Blood Resources. Can be powered by your own health.
A single target attack that deals 107 magical damage, or 118 magical damage if the target is Afflicted.","Whenever you apply Afflicted, you gain a stack of Blood Bank effect, which increases the damage dealt by your damage over time effects by 1% per stack for 10 seconds. This effect can stack up to 10 times.","Instant Instant
TAoE: Affects up to 5 enemies in a 5 metre radius around the target.
Consumes 3 Blood resources. Can be powered by your own health.
A TAoE attack that deals 80 magical damage. If any target is Impaired, you gain the Major Penetration Chance effect, which increases your Penetration Chance by 40% for 6 seconds.","Instant Instant
Consumes 2 Blood Resources. Can be powered by your own health.
Places a reflect barrier on your defensive target, which reflects 50% of incoming damage back to the attacker and dissipates after reflecting 61 damage. Also heals the defensive target for 55.","Increases the power of you barriers by 20%, but reduces the power of your direct heals by 10%.","Instant 30sec
PBAoE: Affects up to 5 friends in a 5 metre radius around you.
Consumes 5 Blood Resources. Can be powered by your own health.
Places an absorb barrier on affected targets that absorbs 100% of incoming damage and dissipates avter absorbing 104 damage. Affected targets are also given a beneficial effect that causes the first enemy to hit them to become Impaired and unable to act for 3 seconds."
Thicker than Water,Exsanguinate,Torture,Cannibalise,Circulation,Sanguineous,Infusion,Vessel Walls
Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Passive Ability,Active Magic Ability,Passive Ability
4 ap,4 ap,34 ap,34 ap,34 ap,34 ap,35 ap,34 ap
Increases the damage you do with blood abilities by 10%,"2.5sec Instant
Channelled: Every 0.5 seconds for 2.5 seconds.
Consumes 5 Blood Resources. Can be powered by your own health. 
A channeled Focus attack that deals 51 magical damage. If the target is Impaired, it also becomes Afflicted with a damage over time effect that deals 6 magical damage every second for 10 seconds.","Whenever you finish channelling a Focus attack, you perform an extra hit that deals 10 magical damage to the target.","Instant 35sec
Builds 3 Blood Resources.
Deals 10% of your maximum health as magical damage to you and grants a beneficial effect that causes you next Blood resource consumer to deal 20% more damage. This ability does not trigger global recharge time.","Whenever you apply Afflicted, you gain a heal over time effect that heals for 7 every second for 10 seconds. If the target is Impaired, the effect will also give you a barrier that absorbs 100% of incoming damage and dissipates after absorbing 15 damage.","Whenever you place a barrier, you are healed for 11.","Instant 30sec
Builds 3 Blood Resources.
You remove your own barrier and gain a beneficial effect that will cause your next barrier to absorb 30% more damage. This ability can only be activated when you have a barrier.","Whenever you activate a Chain ability, you gain an absorb barrier that absorbs 100% of incoming damage and dissipates after absorbing 26 daamge."
Cardiact Arrest,Coagulation,Plague,Gross Anatomy,Expulsion,My Bloody Valentine,Clotting,Cold Blooded
Active Magic Ability (Elite),Passive Ability (Elite),Active Magic Ability (Elite),Passive Ability (Elite),Active Magic Ability (Elite),Active Magic Ability (Elite),Passive Ability (Elite),Active Magic Ability (Elite)
7 ap,7 ap,50 ap,50 ap,50 ap,50 ap,50 ap,50 ap
"Instant 30sec
A single target attack that deals 138 magical damage. The target also becomes Impaired and unable to act for 3 seconds.",Increases the effectiveness of barrier effects by 25%.,"1.5sec 30sec
A single target attack that causes the target to become Afflicted with a damage over time effect that deals 68 magical damage every 2 seconds for 6 seconds. If the target dies while the Plague damage over time effect is active, nearby enemies will become Afflicted with a damage over time effect that deals 17 magical damage every 2 seconds for 6 seconds.","Whenever one of your damage over time effects expire, it will perform an additional hit that deals 16 magical damage.","Instant 60sec
Places an absorb barrier on you that absorbs 100% of incoming damage and dissipates after absorbing 143 damage. This barrier scales with Attack Rating and not with Healing Rating. When the barrier either expires or is spent, it will deal 132 magical damage to all enemies near you.","1sec 20sec
Places an absorb barrier on yourself, which absorbs 100% of incoming damage and dissipates after absorbing 91 damage. While this barrier is active, you are healed for 23 every second. When the barrier is removed it deals 37 damage in an area around you. If any enemies are hit by this, you gain a barrier that absorbs 100% of incoming damage and dissipates after absorbing 53 damage.","Whenever you apply a barrier, you also give yourself a beneficial effect that increases the amount of damage your current barrier can absorb by 19 every second for 5 seconds, and 1 stack of the Protection effect, which increases Physical and Magical Protection by 30 for 8 seconds. This Protection effect can stack up to 5 times.","2sec 35sec
Channelled: Every 0.5 seconds for 2 seconds. 
You deal 3% of your maximum health as magical damage to yourself. Each team member is healed 67 and receives an abosrb barrier. This barrier absorbs 100% of incoming damage and dissipates after absorbing 66 damage. While you channel, you take 40% less damage."
,,,,,,,
Chaos,,,,,,,
Theory,Chance,Teorema,The Value of x,Collapse,Building Blocks,Shell Game,The Fourth Wall
Hand Of Change,Gnosis,Deconstruct,Breakdown,Wheel of Knives,Run Rampant,Fixation,Shaken Foundations
Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Active Magic Ability,Passive Ability,Active Magic Ability
1 ap,1 ap,9 ap,9 ap,9 ap,9 ap,9 ap,9 ap
"Instant Instant
Builds 1 resource for each equipped weapon. 
A single target attack that deals 48 magical damage.","Whenever you hit a Weakened target, there is a 33% chance to perform an additional hit dealing 10 magical damage.","Instant Instant
Builds 1 resource for each equiped weapon.
A single target attack that deals 46 magical damage. Builds 2 resources if the target is below 35% health.","Whenever you hit an Impaired target, your target becomes Weakened by a single stack of the Exposed effect, which increase all damage received by 2% per stack for 10 seconds. Exposed can stack up to 10 times.","Instant Instant
PBAoE: Affects up to 5 enemies in a 5 metre radius around you.
Builds 1 Resource for each equipped weapon.
A Frenzy attack dealing 32 magical damage.","Instant Instant
Builds 1 resource for each equipped weapon.
A single target Burst that hits 3 times, dealing 15 magical damage. Gives you a single stack of the Evade Rating by 30 per stack for 8 seconds. This effect can stack up to 5 times.","Whenever you hit a Weakened target, you have a 33% chance to gain a single stack of the Hit Rating effect, which increases Hit Rating by 30 per stack for 8 seconds. This effect can stack up to 5 times.","Instant Instant
TAoE: Affects 5 enemies in a 5 metre radius around you.
Builds 1 resource for each equipped weapon.
A TAoE that deals 32 magical damage."
Entropy,Escalation,Cutting Thoughts,Armor Fati,Wheel of Misfortune,Inevitabilty,Chaotic Pull,Backlash
Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Passive Ability,Active Magic Ability,Passive Ability
1 ap,1 ap,12 ap,12 ap,12 ap,12 ap,12 ap,12 ap
"Whenever you critically hit or penetrate with ""Hand of Change"" it Builds 1 additional Chaos Resource.","Instant
PBAoE: Affects up to 5 enemies in a 5 metre area around you.
Builds 1 resource for each equipped weapon. 
A PBAoE Frenzy ability that deals 25 magical damage. Generates a high amount of hate. Affected targets also become Weakened by a single stack of the Exposed effect, which increases all damage received by 3% per stack for 10 seconds. Exposed can stack up to 10 times.","Whenever you hit, you build a Cutting Thoughts counter. When there are 5 counters, your next hit performs an additional 3 hits, dealing 14 magical damage per hit. If you perform a glancing hit, the counter will be reset.","Instant 60sec
Gives you a beneficial effect that increases all damage delt by 10%. Your attacks cannot glance or be evaded. This effect lasts 10 seconds.","""Wheel of Knives"" performs an  additional hit to Weakened  and Impaired targets, dealing 4 magical damage.","Whenever a Weakened target attacks you, you have a 15% chance to gain the Minor Evade chance effect, which increases the Evade Chance by 10% for 8 seconds.","Instant 45sec
A single attack that deals 91 magical damage and pulls the target to you. This ability has a 15 metre range.","Whenever you evade, you build a Backlash counter. When there are 7 counters, you deal 108 magical damage in an area around you and reset the counter. Up to a maximum of 5 targets."
Call for Eris,Intensity,Four Horsemen,Pressure Point,Maelstrom,Consequence,Contradiction,Karma
Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Active Magic Ability,Passive Ability,Active Magic Ability
1 ap,1 ap,16 ap,16 ap,16 ap,17 ap,16 ap,16 ap
"Instant Instant
Consumes all Chaos Resources. 
A Burst attack that deals 69 magical damage. Also performs an additional hit per resource consumed, dealing 22 magical damage per hit.","Whenever you hit a Weakened target with ""Escalation"", you gain the Minor Ward effect, which reduces the damage you take by 7.5% for 8 seconds.","Instant Instant
Consumes all Chaos Resources.
A single target Burst that hits 4 times, dealing 21 magical damage per hit. Each hit causes the next hit to deal more damage, this bonus stops if a hit glances.","Whenever you attack, you build a Pressure Point counter. When there are 6 counters, your next attack will cause your target to become Impaired and knocked to the ground for 3 seconds. The counter is the reset. This effect has an internal recharge time of 30 seconds.","Instant Instant
PBAoE: Which affects up to 5 enemies in a 5 metre radius around the area around you.
Consumes all Chaos resources.
A PBAoE attack that deals 60 magical damage.","Instant Instant
Consumes all Chaos resources
Gives you a beneficial effect that reduces all damage received by 7.5% for 8 seconds. Also gives you another beneficial effect that causes the next hit against you to deal 20 magical damage back to the attacker, who becomes Weakened by 1 stack of the Exposed effect. Exposed increases all damage received by 3% per stack for 10 seconds and can stack up to 10 times.","Whenever you evade, your attacker becomes Weakened by a single stack of the Exposed effect, which increases all damage received by 3% per stack for 10 seconds. This effect can stack up to 10 times.","Instant 4sec
PBAoE: Affects 5 enemies in a 5 metre radius around you.
Consumes all Chaos Resources.
A PBAoE Frenzy attack that deals 54 magical damage. Also applies a detrimental effect to affected targets that causes them to heal the next target they hit for a percentage of their target's maximum health."
Paradigm Shift,Illusion,Ripple Effect,Helter Skelter,Hysteria,Burst of Energy,Uneven Ground,Turbulence
Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Passive Ability,Active Magic Ability,Passive Ability
2 ap,2 ap,21 ap,21 ap,21 ap,21 ap,21 ap,21 ap
"Whenever you apply Weakened, you gain a single stack of the Hit Rating effect, which increases Hit Rating by 30 for 8 seconds. This effect can stack up to 5 times.","Instant 45sec
You gain the Major Evade Chance effect, which increases your Evade Chance by 35% for 6 seconds.","Whenever 2 hits in a row of a Burst attack do not glance, your next attack will perform an additional hit dealing 8 magical damage.","Instant 45sec
Column Dash: Dash forward 10 metres, affecting up to 5 enemies in a 6 metre wide column along the way.
A column Dash attack the deals 60 physical damage. Affected targets become Impaired and unable to act for 3 seconds.","Whenver you hit with a Frenzy attack, you gain a single stack of the Hit Rating effect. Which increases Hit Rating by 30 per stack for 8 seconds. This effect can stack up to 5 times.","Burst abilities give you the Minor Ward effect if no hits glance, which reduces all damage received by 7.5% for 8 seconds.","Instant 45sec
PBAoE: Affects up to 5 enemies in a 5 metre radius around you.
A PBAoE attack that deals 69 magical damage. Affected targets also become  Weakened by 3 stacks for the Exposed effect, which increases all damage received by 3% per stack for 10 seconds. this effect can stack up to 10 times. For each taget affected, you gain a single stack of the Evade Rating effect, which increases your Evade rating by 30% per stack for 8 seconds. This effect can stack up to 5 times.","Whenever you acrtivate a Frenzy ability, you gain a single stack of the Evade rating effect, which increases your Evade Rating by 30 per stack for 8 seconds. This effect can stack up to 5 times."
Schism,Master of Illusion,Pulling the Strings,Pattern Recognition,Cry Havoc,Suffering and Solace,Cause and Effect,Reality Fracture
Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Active Magic Ability,Passive Ability,Active Magic Ability
3 ap,3 ap,27 ap,27 ap,27 ap,27 ap,27 ap,27 ap
"Instant
Consumes all Chaos Resources. 
A single target attack that deals 83 magical damage, or 103 magical damage if the target has below 35% remaining health.","""Illusion"" instead gives you a beneficial effect that increases your Evade Chance by 45% for 8 seconds.","Instant 4sec
Consumes all Chaos Resources
A single target attack with a 7 metre range that deals 86 magical damage. If the target is Weakened, you gain the Minor Hit Chance effect, which reduces the cahnce of glancing hits by 10% for 10 seconds.","Whenever you hit an Impaired target, you perform an additional hit for 42 magical damage. This has a 15% chance of performing an additional hit for the same damage.","Instant Instant
TAoE: Which affects up to 5 enemies in a 5 metre radius around your target.
Consumes all Chaos Resources.
A TAoE attack that deals 60 magic damage. If any target in the affected area is Impaired, itcreate a Persistent Ground Effect at their feet which deals 46 magical damage every second for 5 seconds.","Instant Instant
Consumes all Chaos Resources.
A single target attack that deals 89 magical damage. If the target is Impaired, you also gain a beneficial effect causing the next 3 hits against you to reflect 2% per resouce of the damage dealt back at the attacker.","Whenever you apply Impaired, your next gain a beneficial effect that causes your next attack to deal 10% additional damage and generate additional hate.","Instant 10sec
GTAoE: Affects up to 3 enemies in a 5 metre radius around the target point, pulsing every second for 6 seconds.
Consumes all Chaos Resources.
A GTAoE that deals 14 magical damage, or 17 physical damage if the target is Weakened. This attack generates a high amount of hate."
Chaos Adept,Paradox,Pale Horse,Discord Rising,Sick Society,Fever Pitch,Smoke and Mirrors,Extended Fracture
Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Passive Ability,Active Magic Ability,Passive Ability
4 ap,4 ap,34 ap,34 ap,34 ap,34 ap,35 ap,34 ap
Increases the damage dealt by Chaos abilities by 10%.,"Instant 10sec
A single target attack that deals 63 magical damage, or 86 magical damage if the target is Impaired.","Improves ""Pulling the Strings"" to deal 30% more damage to targets with less than 35% health remaining.","Instant 30sec
Creates a 10 metre radius area at your feet, which will move 10 metres forward over 1.5 seconds. The area will deal 73 magical damage to all enemies it touches on its way, and also causes them to become Weakened by 3 stacks of the Exposed effect. This effect increases all damage received by 3% per stack for 8 seconds, and can stack up to 10 times. Each target will only be hit once by the area.","Whenever you attack a target below 35% health, you perform an additional hit that deals 20 magical damage.","Whenever you hit a Weakened target, you have a 10% chance to gain the Major Hit Chance effect, which reduces the chance of  glancing by 50% for 12 seconds.","Instant 90sec
Gives you a beneficial effect that increases Evade Chance by 40% for 8 seconds.","""Reality Fracture"" deals 15% more damage and affects 2 more targets."
Domino Effect,Probability,Prisoner of Fate,From the Abyss,Black Hole,Immutable,Prodigal,Strange Attractor
Active Magic Ability (Elite),Passive Ability(Elite),Active Magic Ability (Elite),Passive Ability (Elite),Active Magic Ability (Elite),Active Magic Ability (Elite),Passive Ability (Elite),Active Magic Ability (Elite)
7 ap,7 ap,50 ap,50 ap,50 ap,50 ap,50 ap,50 ap
"Instant 30sec
PBAoE: Affects up to 5 enemies in a 5 metre area around you.
A PBAoE attack that deals 88 magical damage. Affected targets are also pulled towards you and become Impaired and knocked to the ground for a 3 seconds.","Whenever you evade, gain the Minor Ward effect, which reduces all damage received by 7.5% for 8 seconds.
Whenever you hit 3 times in a row, you gain a beneficial effect that increases damage dealt by 5% for 10 seconds.","5sec 45sec
Channeled: Every second 5 seconds.
A channelled attack that deals 75 magical damage per hit, or 90 magical damage if the target's health is below 35%. The target also becomes Impaired and unable to act for the duration of the channel.","Whenever you attack, you build a From the Abyss counter. When there are 6 counters, you deal 75 magical damage to up to 5 enemies in a 5 metre radius around you, or 100 magical damage to targets that have less than 35% health remaining.","Instant 60sec
A single target attack that deals 52 magical damage and couses the target to become Hindered and rooted to the ground for 4 seconds. For the next 4 seconds, all enemies between 1 and 5 metres of the target will be dealt 104 magical damage each second and become Impaired as they are knocked into the air.","Instant 120sec
Gives you a beneficial effect that causes you to be immune to death for 6 seconds. If you have less than 30% health remaining when this effect expires, you heal for 20% of your maximum helath.",Increases maximum health by 7.5%. Base duration of crowd control effects applied to you are reduced by 15%.,"3sec 30sec
Channelled Every second for 3 seconds.
PBAoE: Affects up to 2 enemies in a 7 metre radius.
A channelled PBAoE attack that deals 73 magical damage. Affected targets are pulled towards you."
,,,,,,,
Elementalism,,,,,,,
Spark,React,Zero Crossing,Altered States,Mortality Curve,Resonance,Disturbance,Tempest
Shock,Mind Over Matter,Electrical Bolt,Molecular Explosion,Arc Flash,Ignition,Critical Control,Wildfire
Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Active Magic Ability,Passive Ability,Active Magic Ability
1 ap,1 ap,9 ap,9 ap,9 ap,9 ap,9 ap,9 ap
"1sec
Builds 1 resorce for each equipped weapon. 
A single target attack that deals 48 magical damage","Whenever you critically hit, the target also becomes Afflicted with a damage over time effect that deals 9 magical damage every second for 5 seconds.","1sec Instant
Buils 1 resource for each equipped weapon.
A single target attack that deals 43 magical damage. If the target is Hindered this attack generates an additional Elemantal Resource.","Whenever you hit an Afflicted target, you perform an additional hit that deals 7 magic damage.","1sec
Chain: Jumps up to 5 metres 4 times, hitting up to 5 enemies. 
Builds 1 resource for each equipped weapon.
A Chain attack which deals 32 magical damage.","
0.5sec Instant
Builds 1 Resource for each equipped Weapon.
A Strike attack that deals 48 magical damage.","Whenever you hit an Impaired target, all group members gains a single stack of the Hit Rating effect, which increases their Hit Rating by 30 per stack for 8 seconds. This effect can stack up to 5 times.","1sec
TAoE: Affects up to 5 enemies in a 5 metre radius around the target.
Build 1 resource for each equipped weapon.
A TAoE attack that deals 32 magical damage."
Volatile Current,Ignite,High Boltage,Coldwave,Death Density,Dial Down,Electromagnetic,Phantom Purge
Passive Ability,Active Magic Ability,Passive Ability,Active Magic Ability,Passive Ability,Passive Ability,Active Magic Ability,Passive Ability
1 ap,1 ap,12 ap,12 ap,12 ap,12 ap,12 ap,12 ap
"Whenever you hit with ""Shock"", the target also becomes Afflicted with a damage over time effect that deals 7 magical damage every second for 10 seconds.","Instant 5sec
Builds 1 resource for each equipped weapon. 
A single target attack that deals 46 magical damage, or 53 magical damage if you have no Elemental Resources.","Increases the critical chance of ""Electrical Bolt"" by 10%.","1sec 45sec
PBAoE: Affects up to 5 enemies in a 5 metre range around you.
A PBAoE attack that deals 73 magic damage, Affected targets are also Hindered and unable to move for 4 seconds.","Whenever you kill an enemy, you gain the Minor Critical Chance effect, which increases your Critical Chance by 10% for 8 seconds.",Whenever you apply Hindered you also purge 1 beneficial effect from the target.,"1sec 90sec
Places a manifestation at the targeted point that lasts 20 seconds. Every second it will hit up to 3 enemies in a 10 metre radius, dealing 8 magical damage. Affected targets will also be purged of 1 beneficial effect.",Chain attacks have a 33% to Purge 1 beneficial effect from the target.
